Dataset,NYUv2,NYUv2,KITTI,KITTI,ETH3D,ETH3D,iBims-1,iBims-1,DDAD,DDAD,DIODE,DIODE,HAMMER,HAMMER,mean,mean
Metric,AbsRel,a1.25,AbsRel,a1.25,AbsRel,a1.25,AbsRel,a1.25,AbsRel,a1.25,AbsRel,a1.25,AbsRel,a1.25,AbsRel,a1.25
Checkpoint,,,,,,,,,,,,,,,,
0,0.1208,0.9045,0.1601,0.7064,0.0724,0.9810,0.1391,0.7774,0.1598,0.7510,0.1719,0.6397,0.2849,0.6531,0.1584,0.7733
1200,0.1582,0.8399,0.1456,0.7633,0.1114,0.9700,0.1091,0.8559,0.1782,0.7289,0.1636,0.7164,0.3724,0.5440,0.1769,0.7741
2400,0.1742,0.7954,0.1551,0.7321,0.0993,0.9455,0.1234,0.8356,0.1814,0.7182,0.1852,0.7099,0.5058,0.4017,0.2035,0.7341
3600,0.1640,0.8162,0.1626,0.7075,0.0825,0.9532,0.1289,0.8404,0.1819,0.7033,0.1849,0.6932,0.4952,0.4669,0.2000,0.7401
4800,0.1591,0.8261,0.1637,0.7049,0.0836,0.9520,0.1308,0.8427,0.1831,0.6928,0.1813,0.7146,0.4753,0.5077,0.1967,0.7487
